,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Shankar Ke Damru Bole Dam Dam,1,7zEnOhRPpS9nQdXzJ7EdxO,Mast Shahar Hai Kaashi,spotify:track:7zEnOhRPpS9nQdXzJ7EdxO,0.158,0.734,0.83,0.0,0.0983,-8.333,0.149,138.004,0.867,0
1,Shankar Ke Damru Bole Dam Dam,2,4dEsXSRNF1nnLpYvuXeNuE,Bhangiya Magai Lenee Ho,spotify:track:4dEsXSRNF1nnLpYvuXeNuE,0.626,0.579,0.677,1.65e-05,0.0748,-9.172,0.0439,179.886,0.924,0
2,Shankar Ke Damru Bole Dam Dam,3,2DLjpM2B2NDHKCDxPieYye,Kholee Ye Bhole Baba,spotify:track:2DLjpM2B2NDHKCDxPieYye,0.357,0.692,0.719,0.0,0.0888,-8.125,0.0429,96.944,0.854,0
3,Shankar Ke Damru Bole Dam Dam,4,5ZkarvVQwDER2cFvj77QS1,Madaiya Keenaram Ki,spotify:track:5ZkarvVQwDER2cFvj77QS1,0.384,0.63,0.818,0.0,0.283,-8.189,0.0623,149.928,0.909,0
4,Shankar Ke Damru Bole Dam Dam,5,1S2izTjlPnOCXXd5dkrUxK,Bar Bauraha Mein Kaun Gun,spotify:track:1S2izTjlPnOCXXd5dkrUxK,0.423,0.609,0.751,7.88e-05,0.16,-8.356,0.0666,179.902,0.947,0
5,Shankar Ke Damru Bole Dam Dam,6,20vMPuodxj07To5M0Vcgrt,Kaashi Ke Logva Nirala Baa,spotify:track:20vMPuodxj07To5M0Vcgrt,0.255,0.681,0.802,0.0,0.0627,-8.44,0.0688,137.908,0.962,0
6,Shankar Ke Damru Bole Dam Dam,7,5k1SIKN3KvL0DGD3eh7VfQ,Bhutva Lagal Baade Pachha,spotify:track:5k1SIKN3KvL0DGD3eh7VfQ,0.214,0.572,0.807,1.14e-06,0.148,-8.367,0.126,189.874,0.92,0
7,Shankar Ke Damru Bole Dam Dam,8,2doTZ5vxgRSJeJL2bebAUm,Shankar Ke Damru Bole,spotify:track:2doTZ5vxgRSJeJL2bebAUm,0.392,0.697,0.724,0.0,0.0935,-8.216,0.102,139.978,0.834,0
