,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
172,Awake,10,5cghG03x2EQBTV3bbZSmGO,Bright As The Sun,spotify:track:5cghG03x2EQBTV3bbZSmGO,0.0545,0.438,0.514,9.7e-06,0.241,-8.749,0.0296,135.082,0.201,42
173,Awake,11,5Trqe9O0VQEBe4aANs2qqS,Upper Room,spotify:track:5Trqe9O0VQEBe4aANs2qqS,0.928,0.417,0.172,2.48e-05,0.205,-14.3,0.0321,131.969,0.167,47
174,Awake,12,3yRTUelHn8NMa2zyUfO3bN,He Shall Reign,spotify:track:3yRTUelHn8NMa2zyUfO3bN,0.0419,0.308,0.351,1.89e-05,0.314,-8.806,0.0278,144.108,0.125,41
175,Awake,13,3V8cEPvDkFmQh6nUJnG318,See The Light - Live,spotify:track:3V8cEPvDkFmQh6nUJnG318,0.000864,0.514,0.87,0.0,0.946,-6.742,0.0621,115.944,0.33,42
176,Awake,14,7iK9jPR9LpWUkdwMPMIVnt,King Of Kings - Live,spotify:track:7iK9jPR9LpWUkdwMPMIVnt,0.0195,0.455,0.424,0.0,0.69,-8.042,0.0289,135.879,0.198,48
177,Awake,15,3VReIm51rDARgT7zbNNfTB,No One But You - Live,spotify:track:3VReIm51rDARgT7zbNNfTB,0.0398,0.331,0.412,2.41e-06,0.0916,-9.655,0.0294,145.748,0.066,44
189,HAY MÁS,1,32PZyH9aENcw7i3VIASIVt,Quien Dices Que Soy,spotify:track:32PZyH9aENcw7i3VIASIVt,0.00248,0.324,0.638,0.0,0.091,-7.985,0.0422,171.544,0.234,48
190,HAY MÁS,2,1QD8JNUdE2jPNsYNFkOgF7,La Pasión,spotify:track:1QD8JNUdE2jPNsYNFkOgF7,0.00326,0.51,0.66,0.0,0.142,-6.934,0.0313,139.829,0.342,44
191,HAY MÁS,3,69jsu8cBrYSmc7dqUsVBF9,Vivo Estoy,spotify:track:69jsu8cBrYSmc7dqUsVBF9,0.0404,0.651,0.856,0.0,0.0856,-6.594,0.0554,114.924,0.305,44
192,HAY MÁS,4,4HEr6Gi6CQZ7FXpweuf4yy,No Temeré,spotify:track:4HEr6Gi6CQZ7FXpweuf4yy,0.118,0.411,0.347,0.000146,0.0878,-10.9,0.0277,74.495,0.152,43
193,HAY MÁS,5,7h4Wco3MY9MPlAHxyxKnnc,Vino Nuevo,spotify:track:7h4Wco3MY9MPlAHxyxKnnc,0.657,0.391,0.229,0.0,0.111,-10.918,0.0309,139.622,0.115,43
194,HAY MÁS,6,6poUzV6U0p1OUxxtmBzADD,En Tu Presencia,spotify:track:6poUzV6U0p1OUxxtmBzADD,0.196,0.447,0.421,0.000107,0.0781,-9.134,0.0283,134.872,0.204,48
195,HAY MÁS,7,4vcEBtKQLHwJSTVPa42mub,Hermoso Nombre,spotify:track:4vcEBtKQLHwJSTVPa42mub,0.169,0.448,0.504,0.0,0.0997,-6.889,0.0299,135.738,0.151,45
196,HAY MÁS,8,4CpXovlU8Md47zl5fNt6WR,A Ti Me Rindo,spotify:track:4CpXovlU8Md47zl5fNt6WR,0.017,0.383,0.431,4.77e-06,0.0932,-8.506,0.0317,153.888,0.136,48
197,HAY MÁS,9,0E3A6BhgIIFbVgv44G7gpU,En Esto Creo (El Credo),spotify:track:0E3A6BhgIIFbVgv44G7gpU,0.0253,0.483,0.64,0.0,0.194,-7.924,0.03,142.075,0.324,42
199,HAY MÁS,11,7lgkVmz7LL5J1mtaAAQohg,Alabaré Al Señor (Anástasis),spotify:track:7lgkVmz7LL5J1mtaAAQohg,0.00814,0.424,0.394,0.0,0.126,-8.162,0.0293,144.983,0.246,42
213,Christmas: The Peace Project (Deluxe),14,0zvnVhzoz6p6zPBOp88nHh,Silent Night (With Saviour King) - Live,spotify:track:0zvnVhzoz6p6zPBOp88nHh,0.342,0.205,0.331,0.0,0.0602,-10.76,0.0323,73.862,0.0997,37
214,Christmas: The Peace Project (Deluxe),15,54VvABzD5o80Q1bTfTwTQ8,Prince Of Heaven - Reimagined,spotify:track:54VvABzD5o80Q1bTfTwTQ8,0.156,0.311,0.602,0.0,0.11,-7.329,0.0315,172.889,0.171,31
